"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"29/01/2025";"0000";"21,8";"22,3";"21,6";"81,0";"84,0";"81,0";"18,5";"19,1";"18,5";"886,6";"886,6";"885,6";"1,4";"350,0";"2,9";"";"0,0"
"29/01/2025";"0100";"21,1";"22,5";"21,1";"86,0";"86,0";"79,0";"18,6";"18,8";"18,5";"887,3";"887,3";"886,6";"1,3";"346,0";"2,5";"";"0,0"
"29/01/2025";"0200";"20,7";"21,1";"20,3";"88,0";"89,0";"86,0";"18,6";"18,7";"18,4";"887,4";"887,7";"887,3";"1,4";"6,0";"2,5";"";"0,0"
"29/01/2025";"0300";"20,1";"20,7";"20,0";"91,0";"92,0";"87,0";"18,6";"18,7";"18,2";"886,8";"887,4";"886,7";"1,2";"354,0";"2,2";"";"0,0"
"29/01/2025";"0400";"19,6";"20,1";"19,4";"94,0";"95,0";"91,0";"18,7";"18,8";"18,3";"886,2";"886,8";"886,2";"1,2";"308,0";"2,0";"";"0,0"
"29/01/2025";"0500";"18,9";"20,0";"18,9";"94,0";"94,0";"92,0";"17,9";"18,8";"17,9";"885,8";"886,2";"885,7";"0,5";"278,0";"2,5";"";"0,0"
"29/01/2025";"0600";"18,8";"18,9";"18,6";"96,0";"96,0";"94,0";"18,2";"18,2";"17,7";"885,5";"885,8";"885,4";"0,9";"333,0";"1,7";"";"0,0"
"29/01/2025";"0700";"18,9";"18,9";"18,5";"97,0";"97,0";"95,0";"18,3";"18,4";"17,8";"885,5";"885,7";"885,4";"1,0";"274,0";"1,4";"";"0,0"
"29/01/2025";"0800";"18,8";"19,8";"18,8";"96,0";"97,0";"95,0";"18,1";"19,1";"18,1";"885,7";"885,8";"885,5";"1,0";"273,0";"2,3";"";"0,0"
"29/01/2025";"0900";"19,4";"19,6";"18,8";"96,0";"97,0";"95,0";"18,7";"18,9";"18,2";"885,9";"886,0";"885,7";"1,3";"296,0";"2,0";"";"0,0"
"29/01/2025";"1000";"20,9";"20,9";"19,4";"94,0";"96,0";"94,0";"20,0";"20,0";"18,5";"886,5";"886,5";"885,9";"0,7";"309,0";"2,1";"183,60";"0,0"
"29/01/2025";"1100";"22,9";"23,3";"20,9";"82,0";"94,0";"81,0";"19,8";"20,4";"19,6";"887,6";"887,6";"886,5";"1,6";"256,0";"3,4";"986,60";"0,0"
"29/01/2025";"1200";"24,2";"24,2";"22,7";"79,0";"84,0";"78,0";"20,2";"20,5";"19,3";"887,8";"887,8";"887,6";"1,4";"270,0";"4,3";"1337,60";"0,0"
"29/01/2025";"1300";"24,6";"24,7";"24,0";"74,0";"79,0";"73,0";"19,6";"20,5";"19,4";"888,1";"888,1";"887,8";"1,5";"313,0";"3,8";"1690,30";"0,0"
"29/01/2025";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29/01/2025";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
