"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"30/10/2024";"0000";"23,3";"23,6";"23,3";"82,0";"82,0";"80,0";"20,0";"20,2";"19,9";"1017,4";"1017,4";"1016,7";"1,7";"20,0";"5,6";"";"0,2"
"30/10/2024";"0100";"23,3";"23,4";"23,3";"81,0";"82,0";"81,0";"19,9";"20,1";"19,7";"1018,0";"1018,0";"1017,4";"1,6";"2,0";"5,6";"";"0,0"
"30/10/2024";"0200";"23,3";"23,4";"23,3";"82,0";"82,0";"81,0";"20,1";"20,1";"19,9";"1017,9";"1018,0";"1017,9";"1,4";"36,0";"4,5";"";"0,0"
"30/10/2024";"0300";"23,2";"23,3";"23,2";"84,0";"84,0";"82,0";"20,3";"20,3";"20,1";"1017,4";"1017,9";"1017,4";"1,2";"2,0";"3,9";"";"0,0"
"30/10/2024";"0400";"22,1";"23,2";"22,1";"87,0";"87,0";"84,0";"19,9";"20,3";"19,7";"1017,1";"1017,4";"1017,1";"1,2";"23,0";"4,5";"";"6,8"
"30/10/2024";"0500";"22,1";"22,2";"22,1";"90,0";"90,0";"87,0";"20,3";"20,3";"19,9";"1016,6";"1017,1";"1016,6";"0,7";"299,0";"3,4";"";"1,2"
"30/10/2024";"0600";"21,6";"22,2";"21,6";"90,0";"90,0";"89,0";"19,9";"20,4";"19,8";"1015,8";"1016,6";"1015,8";"0,7";"309,0";"2,7";"";"0,0"
"30/10/2024";"0700";"21,7";"21,8";"21,6";"91,0";"91,0";"90,0";"20,1";"20,1";"19,9";"1016,0";"1016,0";"1015,8";"0,1";"298,0";"1,4";"";"0,0"
"30/10/2024";"0800";"21,7";"21,7";"21,6";"91,0";"91,0";"91,0";"20,2";"20,2";"20,1";"1016,4";"1016,5";"1016,0";"0,0";"323,0";"1,1";"";"1,0"
"30/10/2024";"0900";"21,8";"21,8";"21,5";"92,0";"92,0";"91,0";"20,3";"20,3";"20,0";"1016,7";"1016,7";"1016,4";"0,1";"254,0";"0,8";"17,40";"0,6"
"30/10/2024";"1000";"21,7";"21,9";"21,7";"92,0";"92,0";"91,0";"20,3";"20,4";"20,2";"1017,4";"1017,4";"1016,7";"0,7";"264,0";"1,5";"69,10";"4,0"
"30/10/2024";"1100";"22,2";"22,5";"21,7";"90,0";"92,0";"90,0";"20,6";"20,9";"20,3";"1017,8";"1017,8";"1017,4";"0,6";"156,0";"1,9";"858,60";"0,6"
"30/10/2024";"1200";"22,9";"23,0";"22,2";"86,0";"90,0";"86,0";"20,5";"21,1";"20,2";"1018,1";"1018,1";"1017,8";"1,0";"157,0";"1,8";"1088,30";"0,0"
"30/10/2024";"1300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"1400";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"1500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"1600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"1700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"1800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"1900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"2000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"2100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30/10/2024";"2300";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
